ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Highland Park Einar,£59.95,100cl,40%,
Talisker 2007 Distillers Edition,£59.95,70cl,45.8%,£85.64 per litre
Glenglassaugh Peated Port Wood Finish,£59.95,70cl,46%,£85.64 per litre
 Macallan 12 Year Old,£59.95,70cl,40%,£85.64 per litre
 Croftengea 2005,£59.95,70cl,50%,£85.64 per litre
Ballantine's Glentauchers 15 Years Old,£59.95,70cl,40%,£85.64 per litre
Ballantine's Miltonduff 15 Years Old,£59.95,70cl,40%,£85.64 per litre
 Peat's Beast Batch Strength,£59.95,70cl,54.1%,£85.64 per litre
 Bowmore Gold Reef,£60.75,100cl,43%,
Aberfeldy 16 Year Old,£60.75,70cl,40%,£86.79 per litre
 Benrinnes 2007,£60.95,70cl,55.8%,£87.07 per litre
 Glenburgie 2004,£60.95,70cl,43%,£87.07 per litre
 Benromach Cask Strength Vintage 2009,£60.95,70cl,57.2%,£87.07 per litre
 Craigellachie 2008,£61.25,70cl,43%,£87.50 per litre
 Glenglassaugh Octaves Peated,£61.75,70cl,44%,£88.21 per litre
